name,company,note,still alive,level audition,re evaluation,main title,ep2,ep4,ep6,ep10,ep12
阿依莎,鹭蒲印象,已淘汰,0,F,F,F,54,91,101,,
艾霖,美丽南方,已淘汰,0,D,F,D,55,88,100,,
艾依依,乐华娱乐,已淘汰,0,C,F,D,35,59,60,,
安崎,匠星娱乐,,1,A,A,A,8,4,5,4,5
蔡卓宜,麦尼肯娱乐,,1,F,B,D,5,5,7,11,16
曾可妮,觉醒东方,,1,B,D,B,42,32,37,39,20
查祎琛,圣元互娱,已淘汰,0,D,F,B,75,69,71,,
陈珏,个人训练生,,1,B,D,D,3,3,4,6,23
陈品瑄,TPG文创,,1,B,B,C,73,66,69,53,41
陈昕葳,乐华娱乐,,1,C,C,D,29,46,44,55,46
陈艺文,TOV娱乐,已淘汰,0,C,F,C,51,67,81,,
程曼鑫,梦想青春音乐,已淘汰,0,D,B,C,58,43,55,,
戴萌,丝芭传媒,,1,B,C,C,9,11,18,24,32
戴燕妮,酷漾娱乐,,1,A,B,B,33,38,38,27,18
杜紫怡,香蕉娱乐,已淘汰,0,C,F,F,81,102,104,,
段小薇,萌样影视,,1,A,D,D,44,40,42,60,55
段艺璇,丝芭传媒,,1,D,C,C,12,12,17,19,15
费沁源,丝芭传媒,,1,D,C,C,13,14,23,32,30
冯若航,圣元互娱,,1,B,F,D,46,51,49,47,38
符佳,一综星船,已淘汰,0,A,F,F,88,104,72,,
符雅凝,果然娱乐,,1,C,D,D,37,37,43,54,52
傅如乔,辰星娱乐,,1,B,D,C,66,71,33,23,25
葛鑫怡,果然娱乐,,1,C,D,B,41,21,22,26,35
勾雪莹,个人训练生,,1,B,F,B,34,39,34,34,42
韩东,少城时代,,1,C,F,D,56,62,64,59,56
何美延,刺猬兄弟,已淘汰,0,B,D,D,40,56,70,,
胡馨尹,尚越文化,,1,D,C,C,15,25,30,41,51
黄小芸,少城时代,已淘汰,0,D,C,D,48,72,83,,
黄欣苑,木加互娱,,1,B,F,D,72,81,77,51,53
黄一鸣,木加互娱,已淘汰,0,F,F,F,70,93,80,,
金吉雅,海盗音乐,已淘汰,0,C,D,F,97,85,67,,
金子涵,乐华娱乐,,1,C,C,C,19,29,27,21,9
靳阳阳,河马影业,,1,D,D,D,49,64,63,42,57
孔雪儿,泰洋川禾,,1,A,C,B,10,8,9,9,8
李熙凝,祥跃文化,退赛,0,F,F,,,,,,
李依宸,个人训练生,,1,F,B,D,63,42,45,38,44
林凡,TOV娱乐,,1,C,A,C,11,18,20,20,27
林慧博,香蕉娱乐,已淘汰,0,B,C,B,96,103,103,,
林韦希,莱恩娱乐,已淘汰,0,C,F,B,28,47,56,,
林小宅,点赞传播,,1,F,D,D,18,26,31,31,21
刘海涵,嘉行新悦,已淘汰,0,D,F,D,102,97,106,,
刘令姿,觉醒东方,,1,B,A,B,39,28,36,25,12
刘亚楠,华谊兄弟时尚,已淘汰,0,D,D,D,93,87,89,,
刘雨昕,AMG亚洲音乐集团,,1,A,B,A,23,16,11,8,6
陆柯燃,TOV娱乐,,1,B,C,C,7,7,10,12,14
马蜀君,个人训练生,,1,B,C,A,25,36,40,44,47
米拉,觉醒东方,已淘汰,0,B,F,C,87,101,102,,
莫寒,丝芭传媒,,1,D,B,D,14,24,28,35,45
墨谣,匠星娱乐,已淘汰,0,B,F,D,45,65,73,,
乃万,WR/OC,,1,C,A,C,24,33,19,14,10
欧若拉,觉醒东方,已淘汰,0,B,F,D,50,61,65,,
七穗,Second Culture,,1,F,D,B,43,22,24,28,40
秦牛正威,火星数娱,,1,D,C,F,16,27,39,43,49
权笑迎,姊妹淘,已淘汰,0,C,D,D,85,99,105,,
上官喜爱,匠星娱乐,,1,A,D,A,4,6,6,10,13
申冰,合纵文化,退赛,0,C,F,D,64,75,,,
申洁,合纵文化,已淘汰,0,C,C,C,82,90,99,,
申清,合纵文化,已淘汰,0,C,F,F,80,89,98,,
申玉,合纵文化,已淘汰,0,C,F,F,77,83,95,,
沈莹,尚越文化,已淘汰,0,D,D,D,36,52,59,,
宋昕冉,丝芭传媒,,1,D,B,D,22,35,35,36,22
宋昭艺,乐华娱乐,,1,C,B,B,47,63,53,49,33
苏杉杉,丝芭传媒,,1,D,D,D,26,34,41,46,43
粟钦柔,香蕉娱乐,已淘汰,0,D,D,D,83,78,85,,
孙美楠,河马影业,,1,C,D,F,105,92,93,58,59
孙芮,丝芭传媒,,1,D,D,D,21,23,32,33,19
唐珂伊,嘉行新悦,已淘汰,0,D,F,D,92,105,97,,
汪睿,飞宝传媒,已淘汰,0,D,F,C,76,74,87,,
王承渲,TPG文创,,1,B,D,A,94,20,8,5,11
王清,大王娱乐,,1,A,F,C,69,15,16,17,31
王姝慧,香蕉娱乐,已淘汰,0,B,F,B,57,60,61,,
王思予,曜星文化,已淘汰,0,B,D,D,65,55,51,,
王婉辰,个人训练生,,1,D,D,D,100,57,52,48,58
王心茗,TPG文创,已淘汰,0,C,F,D,108,54,68,,
王欣宇,个人训练生,,1,C,A,B,6,9,14,18,48
王雅乐,嘉行新悦,已淘汰,0,C,F,F,91,80,79,,
王瑶瑶,好好榜样,已淘汰,0,C,F,F,86,106,91,,
未书羽,少城时代,已淘汰,0,D,F,F,89,108,75,,
魏辰,曜星文化,,1,B,D,B,53,50,46,52,50
魏奇奇,萌样影视,已淘汰,0,B,F,C,78,73,78,,
文哲,匠星娱乐,已淘汰,0,B,F,D,31,45,54,,
希娅,乐华娱乐,已淘汰,0,C,F,D,68,79,82,,
夏研,个人训练生,,1,B,F,C,67,30,15,16,28
谢可寅,嘉纳盛世,,1,B,A,A,32,44,13,7,3
熊钰清,木加互娱,已淘汰,0,D,F,C,95,100,86,,
徐百仪,个人训练生,已淘汰,0,B,F,D,107,77,90,,
徐轸轸,河马影业,,1,C,C,D,104,94,50,40,54
徐紫茵,好好榜样,,1,B,D,D,60,49,48,29,36
许佳琪,丝芭传媒,,1,A,B,B,2,2,2,2,7
许馨文,少城时代,,1,B,A,B,79,95,84,57,29
许杨玉琢,丝芭传媒,,1,C,B,B,20,17,26,37,26
杨宇彤,火星数娱,已淘汰,0,C,A,C,101,98,94,,
姚依凡,天加一,已淘汰,0,F,F,D,106,82,96,,
虞书欣,华策影业,,1,D,D,D,1,1,1,1,1
喻言,嘉会传媒,,1,A,A,A,30,31,21,15,4
张楚寒,个人训练生,,1,B,D,A,27,41,29,22,24
张洛菲,果然娱乐,已淘汰,0,D,D,D,71,68,76,,
张梦露,河马影业,,1,D,F,F,84,107,66,56,60
张天馨,乐辉文化,已淘汰,0,B,C,C,103,96,107,,
张语格,丝芭传媒,,1,C,C,C,17,19,25,30,37
张钰,大王娱乐,,1,B,B,C,59,13,12,13,17
赵小棠,泰洋川禾,,1,C,D,C,61,10,3,3,2
郑玉歆,TPG文创,已淘汰,0,C,C,A,99,86,88,,
周琳聪,圣元互娱,已淘汰,0,D,D,D,98,76,74,,
周梓倩,天加一,已淘汰,0,C,C,D,38,53,57,,
朱林雨,嘉行新悦,,1,C,C,B,62,58,47,45,34
卓依娜姆,诚利千代,已淘汰,0,C,F,C,74,84,92,,
邹思扬,觉醒东方,已淘汰,0,B,D,D,90,70,58,,
左卓,百沐娱乐,,1,C,C,D,52,48,62,50,39
